accuracy,f1,n_estimators,max_depth,learning_rate,drop_col,statistics
0.8148,0.8151,200,4,0.1,none,mean
0.7898,0.7911,200,4,0.1,intensity,mean
0.8049,0.8054,200,4,0.1,red,mean
0.8106,0.811,200,4,0.1,green,mean
0.792,0.7913,200,4,0.1,vert_angle,mean
0.8071,0.8074,200,4,0.1,curvature,mean
0.7937,0.7949,200,4,0.1,roughness,mean
0.796,0.7957,200,4,0.1,nz,mean
0.4177,0.4136,200,4,0.1,none,var
0.4131,0.4108,200,4,0.1,intensity,var
0.418,0.4137,200,4,0.1,red,var
0.4164,0.4122,200,4,0.1,green,var
0.4161,0.4121,200,4,0.1,vert_angle,var
0.4074,0.4029,200,4,0.1,curvature,var
0.4202,0.4197,200,4,0.1,roughness,var
0.4082,0.4008,200,4,0.1,nz,var
0.4426,0.444,200,4,0.1,none,std
0.4364,0.439,200,4,0.1,intensity,std
0.443,0.4444,200,4,0.1,red,std
0.4397,0.4407,200,4,0.1,green,std
0.4389,0.4407,200,4,0.1,vert_angle,std
0.4354,0.4369,200,4,0.1,curvature,std
0.443,0.4479,200,4,0.1,roughness,std
0.4299,0.427,200,4,0.1,nz,std
0.824,0.8244,200,4,0.1,none,median
0.8055,0.8065,200,4,0.1,intensity,median
0.8146,0.8152,200,4,0.1,red,median
0.8207,0.8212,200,4,0.1,green,median
0.7989,0.7984,200,4,0.1,vert_angle,median
0.819,0.8196,200,4,0.1,curvature,median
0.8039,0.8052,200,4,0.1,roughness,median
0.8008,0.8008,200,4,0.1,nz,median
0.82,0.8203,200,4,0.1,none,perc2nd
0.8004,0.8022,200,4,0.1,intensity,perc2nd
0.8107,0.8111,200,4,0.1,red,perc2nd
0.8175,0.8179,200,4,0.1,green,perc2nd
0.7896,0.7892,200,4,0.1,vert_angle,perc2nd
0.8157,0.8162,200,4,0.1,curvature,perc2nd
0.7998,0.801,200,4,0.1,roughness,perc2nd
0.8085,0.8084,200,4,0.1,nz,perc2nd
0.8095,0.8098,200,4,0.1,none,perc98th
0.7904,0.7901,200,4,0.1,intensity,perc98th
0.801,0.8015,200,4,0.1,red,perc98th
0.8054,0.8058,200,4,0.1,green,perc98th
0.7871,0.786,200,4,0.1,vert_angle,perc98th
0.8022,0.8027,200,4,0.1,curvature,perc98th
0.7952,0.7963,200,4,0.1,roughness,perc98th
0.7858,0.7858,200,4,0.1,nz,perc98th
0.8265,0.8269,200,4,0.1,none,perc25th
0.8024,0.804,200,4,0.1,intensity,perc25th
0.8177,0.8182,200,4,0.1,red,perc25th
0.8248,0.8253,200,4,0.1,green,perc25th
0.8001,0.7998,200,4,0.1,vert_angle,perc25th
0.8203,0.8209,200,4,0.1,curvature,perc25th
0.8033,0.8046,200,4,0.1,roughness,perc25th
0.8083,0.8083,200,4,0.1,nz,perc25th
0.8195,0.8201,200,4,0.1,none,perc75th
0.7991,0.7998,200,4,0.1,intensity,perc75th
0.8141,0.8148,200,4,0.1,red,perc75th
0.8158,0.8165,200,4,0.1,green,perc75th
0.795,0.7943,200,4,0.1,vert_angle,perc75th
0.8183,0.8189,200,4,0.1,curvature,perc75th
0.802,0.8035,200,4,0.1,roughness,perc75th
0.7938,0.794,200,4,0.1,nz,perc75th
0.3282,0.3081,200,4,0.1,none,skewness
0.324,0.3021,200,4,0.1,intensity,skewness
0.3277,0.3073,200,4,0.1,red,skewness
0.3276,0.3075,200,4,0.1,green,skewness
0.3326,0.3166,200,4,0.1,vert_angle,skewness
0.3235,0.3024,200,4,0.1,curvature,skewness
0.3276,0.3073,200,4,0.1,roughness,skewness
0.3142,0.2926,200,4,0.1,nz,skewness
