accuracy,f1,precision,recall,training_time,n_estimators,max_depth,learning_rate
0.8137,0.8138,0.8172,0.8137,1.1694,50,1,1
0.7639,0.759,0.7645,0.7639,1.2984,50,1,0.1
0.7231,0.6927,0.7097,0.7231,1.1798,50,1,0.01
0.6048,0.5591,0.5517,0.6048,1.145,50,1,0.001
0.5969,0.5488,0.5445,0.5969,1.2869,50,1,0.0001
0.8258,0.8266,0.8301,0.8258,1.4329,50,2,1
0.8073,0.805,0.8096,0.8073,1.4762,50,2,0.1
0.714,0.7073,0.7196,0.714,1.5943,50,2,0.01
0.6941,0.6873,0.7008,0.6941,1.4281,50,2,0.001
0.7044,0.6977,0.7083,0.7044,1.4262,50,2,0.0001
0.8285,0.8291,0.8315,0.8285,1.779,50,3,1
0.8065,0.8055,0.8087,0.8065,1.6805,50,3,0.1
0.7579,0.7551,0.7594,0.7579,1.8139,50,3,0.01
0.7559,0.7547,0.7595,0.7559,1.6267,50,3,0.001
0.7605,0.7591,0.7658,0.7605,1.6738,50,3,0.0001
0.8304,0.831,0.8335,0.8304,2.0378,50,4,1
0.812,0.8114,0.8145,0.812,1.9795,50,4,0.1
0.7804,0.7795,0.784,0.7804,2.0268,50,4,0.01
0.7685,0.7664,0.774,0.7685,1.9145,50,4,0.001
0.7757,0.7737,0.7794,0.7757,2.0081,50,4,0.0001
0.8263,0.8271,0.8294,0.8263,2.2669,50,5,1
0.8155,0.8153,0.8179,0.8155,2.3429,50,5,0.1
0.796,0.7949,0.799,0.796,2.2021,50,5,0.01
0.7918,0.7907,0.7951,0.7918,2.2744,50,5,0.001
0.7763,0.7751,0.7805,0.7763,2.1529,50,5,0.0001
0.8065,0.8075,0.8102,0.8065,2.8889,50,6,1
0.8178,0.8181,0.8211,0.8178,2.7266,50,6,0.1
0.794,0.7931,0.7983,0.794,2.6243,50,6,0.01
0.8015,0.8009,0.8058,0.8015,2.7445,50,6,0.001
0.7938,0.7934,0.7977,0.7938,2.5705,50,6,0.0001
0.8105,0.8116,0.8144,0.8105,3.3397,50,7,1
0.8205,0.821,0.8242,0.8205,3.4171,50,7,0.1
0.8158,0.8155,0.8197,0.8158,3.3147,50,7,0.01
0.8082,0.8077,0.8125,0.8082,3.1594,50,7,0.001
0.8037,0.8034,0.8077,0.8037,3.1568,50,7,0.0001
0.8175,0.8186,0.821,0.8175,4.0485,50,8,1
0.8233,0.8239,0.8271,0.8233,4.0096,50,8,0.1
0.8199,0.8199,0.8243,0.8199,4.2184,50,8,0.01
0.814,0.8141,0.8183,0.814,4.2063,50,8,0.001
0.8078,0.8081,0.8121,0.8078,4.1514,50,8,0.0001
0.8111,0.8123,0.8154,0.8111,4.9042,50,9,1
0.8228,0.8236,0.8267,0.8228,5.1447,50,9,0.1
0.8236,0.8237,0.828,0.8236,5.5872,50,9,0.01
0.816,0.8161,0.8204,0.816,5.4517,50,9,0.001
0.8127,0.8128,0.8171,0.8127,5.4374,50,9,0.0001
0.8135,0.8146,0.8175,0.8135,5.7089,50,10,1
0.8226,0.8234,0.8264,0.8226,6.6482,50,10,0.1
0.8258,0.826,0.8302,0.8258,7.3522,50,10,0.01
0.817,0.8173,0.8214,0.817,7.2742,50,10,0.001
0.8148,0.815,0.8191,0.8148,7.2647,50,10,0.0001
0.8193,0.8197,0.8227,0.8193,2.1471,100,1,1
0.7856,0.7832,0.7868,0.7856,1.9849,100,1,0.1
0.728,0.7053,0.7431,0.728,2.1065,100,1,0.01
0.6107,0.5553,0.5431,0.6107,1.9884,100,1,0.001
0.5979,0.5497,0.5454,0.5979,2.0645,100,1,0.0001
0.829,0.8295,0.8325,0.829,2.5672,100,2,1
